AREA 1_2016,Crime Code,Frequency,Description
AREA 1,624,1541,BATTERY - SIMPLE ASSAULT
AREA 1,440,1180,THEFT PLAIN - PETTY ($950 & UNDER)
AREA 1,330,752,BURGLARY FROM VEHICLE
AREA 1,230,693,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
AREA 1,210,586,ROBBERY
AREA 1,740,564,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
AREA 1,442,507,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
AREA 1,626,504,INTIMATE PARTNER - SIMPLE ASSAULT
AREA 1,341,433,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
AREA 1,510,383,VEHICLE - STOLEN
